"date","date_obs","heure_obs","temperature_eau_c"
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-13,2021-09-13,"12:30:00",13.1
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-09-22,2021-09-22,"14:15:00",13.6
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2021-10-14,2021-10-14,"11:30:00",17
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2019-09-09,2019-09-09,"10:45:00",13.1
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
2021-10-14,2021-10-14,"10:30:00",14.34
